Team;AgentID;Day;Shift;Experience;CallsHandled;AvgCallDuration;EscalationRate;FCRRate;CSATScore;OvertimeHours;CostPerCall;CostCategory
Team A;Agent_1;Monday;Morning;3-6 months;58;6.54;0.1;0.82;3.63;0;24.81;Low
Team A;Agent_1;Monday;Afternoon;3-6 months;69;5.38;0.11;0.75;4.76;2;27.07;Low
Team A;Agent_1;Monday;Evening;0-3 months;50;7.46;0.05;0.61;4.18;0;26.19;Low
Team A;Agent_1;Tuesday;Morning;0-3 months;45;7.54;0.11;0.76;4.3;0;26.31;Low
Team A;Agent_1;Tuesday;Afternoon;6+ months;32;6.42;0.08;0.75;4.72;0;24.63;Low
Team A;Agent_1;Tuesday;Evening;3-6 months;55;6.83;0.03;0.77;4.07;0;25.24;Low
Team A;Agent_1;Wednesday;Morning;3-6 months;76;5.61;0.04;0.86;4.05;0;23.42;Low
Team A;Agent_1;Wednesday;Afternoon;3-6 months;58;4.84;0.15;0.87;4.72;2;26.26;Low
Team A;Agent_1;Wednesday;Evening;3-6 months;77;6.75;0.09;0.84;4.6;1;27.12;Low
Team A;Agent_1;Thursday;Morning;3-6 months;53;4.16;0.07;0.79;4.21;0;21.24;Low
Team A;Agent_1;Thursday;Afternoon;6+ months;30;5.96;0.07;0.79;3.52;0;23.94;Low
Team A;Agent_1;Thursday;Evening;6+ months;64;5.72;0.12;0.62;3.97;0;23.58;Low
Team A;Agent_1;Friday;Morning;6+ months;37;5.1;0.07;0.85;4.37;0;22.65;Low
Team A;Agent_1;Friday;Afternoon;0-3 months;64;5.89;0.17;0.77;4.43;1;25.84;Low
Team A;Agent_1;Friday;Evening;3-6 months;43;9.37;0.08;0.61;3.64;0;29.06;High
Team A;Agent_2;Monday;Morning;3-6 months;61;5.08;0.11;0.77;4.29;0;22.62;Low
Team A;Agent_2;Monday;Afternoon;0-3 months;42;5.79;0.09;0.89;4.55;1;25.68;Low
Team A;Agent_2;Monday;Evening;6+ months;57;5.57;0.05;0.7;4.65;0;23.36;Low
Team A;Agent_2;Tuesday;Morning;0-3 months;54;5.3;0.11;0.81;4.56;2;26.95;Low
Team A;Agent_2;Tuesday;Afternoon;0-3 months;37;5.67;0.18;0.82;4.4;0;23.5;Low
Team A;Agent_2;Tuesday;Evening;0-3 months;61;7.89;0.14;0.84;4.75;0;26.84;Low
Team A;Agent_2;Wednesday;Morning;3-6 months;78;6.17;0.04;0.9;3.85;3;30.26;High
Team A;Agent_2;Wednesday;Afternoon;3-6 months;52;6.48;0.05;0.77;4.14;3;30.72;High
Team A;Agent_2;Wednesday;Evening;0-3 months;33;5.74;0.07;0.69;3.81;2;27.61;Low
Team A;Agent_2;Thursday;Morning;3-6 months;63;6.59;0.03;0.88;3.92;0;24.88;Low
Team A;Agent_2;Thursday;Afternoon;0-3 months;49;8.19;0.13;0.78;4.42;2;31.28;High
Team A;Agent_2;Thursday;Evening;3-6 months;36;6.54;0.07;0.83;3.68;0;24.81;Low
Team A;Agent_2;Friday;Morning;0-3 months;52;5.09;0.19;0.85;3.8;0;22.64;Low
Team A;Agent_2;Friday;Afternoon;6+ months;78;5.68;0.14;0.89;4.32;0;23.52;Low
Team A;Agent_2;Friday;Evening;3-6 months;77;5.79;0.13;0.81;4.03;2;27.68;Low
Team A;Agent_3;Monday;Morning;6+ months;78;6.29;0.02;0.77;4.21;1;26.44;Low
Team A;Agent_3;Monday;Afternoon;3-6 months;70;5.29;0.04;0.75;4.14;0;22.94;Low
Team A;Agent_3;Monday;Evening;3-6 months;37;6.42;0.09;0.62;3.98;0;24.63;Low
Team A;Agent_3;Tuesday;Morning;0-3 months;67;6.94;0.29;0.82;4.68;0;25.41;Low
Team A;Agent_3;Tuesday;Afternoon;3-6 months;62;5.74;0.05;0.86;3.87;0;23.61;Low
Team A;Agent_3;Tuesday;Evening;3-6 months;46;8.72;0.15;0.72;3.86;2;32.08;High
Team A;Agent_3;Wednesday;Morning;6+ months;66;5.88;0.15;0.89;4.61;0;23.82;Low
Team A;Agent_3;Wednesday;Afternoon;3-6 months;52;6.74;0.05;0.82;3.98;0;25.11;Low
Team A;Agent_3;Wednesday;Evening;6+ months;32;5.12;0.1;0.85;3.68;0;22.68;Low
Team A;Agent_3;Thursday;Morning;6+ months;46;6.15;0.13;0.77;4.42;0;24.22;Low
Team A;Agent_3;Thursday;Afternoon;0-3 months;55;6.3;0.28;0.83;4.15;1;26.45;Low
Team A;Agent_3;Thursday;Evening;3-6 months;75;6.26;0.12;0.82;3.94;0;24.39;Low
Team A;Agent_3;Friday;Morning;0-3 months;52;4.8;0.09;0.9;4.59;2;26.2;Low
Team A;Agent_3;Friday;Afternoon;0-3 months;71;7.2;0.26;0.8;3.67;0;25.8;Low
Team A;Agent_3;Friday;Evening;6+ months;73;5.95;0.13;0.65;4.03;1;25.92;Low
Team A;Agent_4;Monday;Morning;0-3 months;45;6.52;0.29;0.83;3.92;1;26.78;Low
Team A;Agent_4;Monday;Afternoon;0-3 months;57;5.14;0.1;0.76;4.06;1;24.71;Low
Team A;Agent_4;Monday;Evening;0-3 months;30;6.84;0.16;0.66;3.62;0;25.26;Low
